DATE,NYNGSP
1997-01-01,718322.5
1998-01-01,745223.7
1999-01-01,793721.1
2000-01-01,838660.3
2001-01-01,877149.3
2002-01-01,886792.7
2003-01-01,905280.6
2004-01-01,955192.0
2005-01-01,1015046.3
2006-01-01,1071393.1
2007-01-01,1108896.0
2008-01-01,1099234.4
2009-01-01,1152812.1
2010-01-01,1213946.9
2011-01-01,1236061.4
2012-01-01,1322447.9
2013-01-01,1355581.4
2014-01-01,1427812.7
2015-01-01,1487789.4
2016-01-01,1541524.4
2017-01-01,1598457.0
2018-01-01,1676350.2
